,Number,State/UT,Admin_Capital,Legislative_Capital,Judiciary_Capital,Year_Capital,Former_Capital
0,Port Blair,Andaman and Nicobar Islands,Port Blair," 
","Kolkata
","1955
","Calcutta (19451955)
"
1,Hyderabad,Andhra Pradesh,Hyderabad,Amaravati,Amaravati,1956,Kurnool
2,Itanagar,Arunachal Pradesh,Itanagar,"Itanagar
",Guwahati,"1986
"," 
"
3,Dispur,Assam,Dispur,Guwahati,"Guwahati
","1975
",Shillong
4,Patna,Bihar,Patna,"Patna
","Patna
","1912
"," 
"
5,Chandigarh,Chandigarh,Chandigarh," 
","Chandigarh
","1966
"," 
"
6,Atal Nagar,Chhattisgarh,Atal Nagar,"Raipur
",Bilaspur,"2000
"," 
"
7,Silvassa,Dadra and Nagar Haveli,Silvassa," 
",Mumbai,"1945
",Mumbai (19541961) 
8,Daman,Daman and Diu,Daman," 
",Mumbai,"1987
",Ahmedabad
9,New Delhi,National Capital Territory of Delhi,New Delhi,"New Delhi
","New Delhi
","1931
"," 
"
10,Panaji,Goa,Panaji,Porvorim,Mumbai,"1961
","Panaji (19611987)
"
11,Gandhinagar,Gujarat,Gandhinagar,"Gandhinagar
",Ahmedabad,"1960
",Ahmedabad
12,Chandigarh,Haryana,Chandigarh,"Chandigarh
","Chandigarh
","1966
"," 
"
13,Shimla,Himachal Pradesh,Shimla,"Shimla (Summer)
","Shimla 
","1971
",Bilaspur
14,Srinagar,Jammu and Kashmir,Srinagar,Srinagar (Summer),Srinagar (Summer),"1947
"," 
"
15,Ranchi,Jharkhand,Ranchi,"Ranchi
","Ranchi
","2000
"," 
"
16,Bengaluru,Karnataka,Bengaluru,"Bengaluru
","Bengaluru
","1940
","(Mysore)
"
17,Thiruvananthapuram,Kerala,Thiruvananthapuram,"Thiruvananthapuram
",Kochi,"1956
"," 
"
18,Kavaratti,Lakshadweep,Kavaratti," 
",Kochi,"1956
"," 
"
19,Bhopal,Madhya Pradesh,Bhopal,"Bhopal
",Jabalpur,"1956
",Nagpur
20,Mumbai,Maharashtra,Mumbai,"Mumbai (Summer)
","Mumbai
","1818
"," 
"
21,Imphal,Manipur,Imphal,"Imphal
","Imphal
","1947
"," 
"
22,Shillong,Meghalaya,Shillong,"Shillong
","Shillong
","1970
"," 
"
23,Aizawl,Mizoram,Aizawl,"Aizawl
",Guwahati,"1972
"," 
"
24,Kohima,Nagaland,Kohima,"Kohima
",Guwahati,"1963
"," 
"
25,Bhubaneswar,Odisha,Bhubaneswar,"Bhubaneswar
",Cuttack,"1948
",Cuttack
26,Puducherry,Puducherry,Puducherry,"Puducherry
",Chennai,"1954
",Madras
27,Chandigarh,Punjab,Chandigarh,"Chandigarh
","Chandigarh
","1966
"," 
"
28,Jaipur,Rajasthan,Jaipur,"Jaipur
",Jodhpur,"1950
"," 
"
29,Gangtok,Sikkim,Gangtok,"Gangtok
","Gangtok
","1890
"," 
"
30,Chennai,Tamil Nadu,Chennai,"Chennai
","Chennai
","1956
"," 
"
31,Hyderabad,Telangana,Hyderabad,"Hyderabad
","Hyderabad
","2014
"," 
"
32,Agartala,Tripura,Agartala,"Agartala
","Agartala
","1956
"," 
"
33,Lucknow,Uttar Pradesh,Lucknow,"Lucknow
",Allahabad,"1938
"," 
"
34,Dehradun,Uttarakhand,Dehradun,"Dehradun
",Nainital,"2000
"," 
"
35,Kolkata,West Bengal,Kolkata,"Kolkata
","Kolkata
","1947
"," 
"
